Player;Season;Season Type;Team;Games;Min;Pts;OReb;Dreb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;FG%;3PTM;3PTA;3PT%;FTM;FTA;FT%
LeBron James;2007-2008;REG;Cavaliers;75;40.36;30.00;1.77;6.12;7.89;7.19;1.84;1.08;3.40;2.20;10.59;21.89;0.484;1.51;4.79;0.315;7.32;10.28;0.712
Kobe Bryant;2007-2008;REG;Lakers;82;38.93;28.33;1.15;5.16;6.30;5.38;1.84;0.49;3.13;2.77;9.45;20.61;0.459;1.83;5.06;0.361;7.60;9.05;0.840
Allen Iverson;2007-2008;REG;Nuggets;82;41.76;26.39;0.57;2.39;2.96;7.15;1.95;0.15;2.99;1.33;8.68;18.98;0.458;1.16;3.35;0.345;7.87;9.72;0.809
Carmelo Anthony;2007-2008;REG;Nuggets;77;36.44;25.69;2.31;5.10;7.42;3.36;1.27;0.51;3.29;3.29;9.45;19.23;0.492;0.75;2.13;0.354;6.03;7.66;0.786
Amar'e Stoudemire;2007-2008;REG;Suns;79;33.88;25.18;2.25;6.85;9.10;1.49;0.81;2.06;2.20;3.72;9.04;15.33;0.590;0.06;0.39;0.161;7.04;8.75;0.805
Dwyane Wade;2007-2008;REG;Heat;51;38.31;24.59;0.88;3.31;4.20;6.94;1.71;0.73;4.39;2.69;8.61;18.37;0.469;0.43;1.51;0.286;6.94;9.16;0.758
Kevin Martin;2007-2008;REG;Kings;61;36.33;23.66;0.79;3.69;4.48;2.11;1.02;0.08;2.15;2.46;6.84;14.98;0.456;1.75;4.36;0.402;8.23;9.48;0.869
Dirk Nowitzki;2007-2008;REG;Mavericks;77;35.96;23.60;1.23;7.32;8.56;3.45;0.66;0.92;2.08;2.57;8.18;17.06;0.479;1.03;2.86;0.359;6.21;7.06;0.879
Michael Redd;2007-2008;REG;Bucks;72;37.53;22.67;1.18;3.11;4.29;3.43;0.90;0.18;2.51;1.67;7.64;17.26;0.442;1.81;4.99;0.362;5.58;6.81;0.820
Richard Jefferson;2007-2008;REG;Nets;82;39.03;22.65;1.13;3.04;4.17;3.07;0.93;0.26;2.43;2.74;7.55;16.20;0.466;0.94;2.60;0.361;6.61;8.28;0.798
Chris Bosh;2007-2008;REG;Raptors;67;36.19;22.33;2.60;6.10;8.70;2.55;0.94;1.00;2.28;2.34;7.57;15.33;0.494;0.15;0.37;0.400;7.04;8.34;0.844
Corey Maggette;2007-2008;REG;Clippers;70;35.74;22.10;1.11;4.51;5.63;2.70;1.01;0.10;2.79;3.00;6.54;14.29;0.458;1.11;2.90;0.384;7.90;9.73;0.812
Yao Ming;2007-2008;REG;Rockets;55;37.16;21.98;3.13;7.67;10.80;2.35;0.45;2.02;3.33;3.11;7.85;15.49;0.507;0.00;0.04;0.000;6.27;7.38;0.850
Baron Davis;2007-2008;REG;Warriors;82;38.98;21.84;1.17;3.52;4.70;7.60;2.33;0.52;2.83;3.01;7.93;18.61;0.426;2.11;6.40;0.330;3.88;5.17;0.750
Jason Richardson;2007-2008;REG;Bobcats;82;38.40;21.80;0.98;4.40;5.38;3.15;1.41;0.70;2.02;2.94;7.90;17.90;0.441;2.96;7.30;0.406;3.04;4.04;0.752
Joe Johnson;2007-2008;REG;Hawks;82;40.77;21.70;1.01;3.46;4.48;5.78;1.02;0.22;2.72;2.05;7.89;18.26;0.432;2.06;5.41;0.381;3.85;4.62;0.834
Tracy McGrady;2007-2008;REG;Rockets;66;36.97;21.62;0.64;4.50;5.14;5.86;1.03;0.45;2.42;1.38;8.30;19.80;0.419;1.30;4.47;0.292;3.71;5.42;0.684
Antawn Jamison;2007-2008;REG;Wizards;79;38.74;21.38;2.72;7.48;10.20;1.52;1.34;0.43;1.43;2.47;7.82;17.94;0.436;1.52;4.48;0.339;4.22;5.54;0.760
Vince Carter;2007-2008;REG;Nets;76;38.94;21.34;1.47;4.49;5.96;5.12;1.22;0.43;2.38;3.17;7.72;16.93;0.456;1.29;3.59;0.359;4.61;5.64;0.816
Carlos Boozer;2007-2008;REG;Jazz;81;34.90;21.09;2.43;7.99;10.42;2.88;1.23;0.51;2.59;3.62;8.75;16.01;0.547;0.00;0.01;0.000;3.58;4.85;0.738
Al Jefferson;2007-2008;REG;Timberwolves;82;35.60;21.05;3.76;7.35;11.11;1.43;0.90;1.45;2.04;2.71;8.79;17.57;0.500;0.00;0.06;0.000;3.46;4.80;0.721
Chris Paul;2007-2008;REG;Hornets;80;37.56;21.05;0.78;3.24;4.01;11.56;2.71;0.05;2.51;2.31;7.88;16.14;0.488;1.15;3.11;0.369;4.15;4.88;0.851
Dwight Howard;2007-2008;REG;Magic;82;37.66;20.67;3.40;10.76;14.16;1.34;0.90;2.15;3.21;3.34;7.11;11.88;0.599;0.00;0.05;0.000;6.45;10.94;0.590
David West;2007-2008;REG;Hornets;76;37.76;20.58;2.37;6.51;8.88;2.33;0.82;1.30;2.17;2.74;8.28;17.17;0.482;0.08;0.33;0.240;3.95;4.64;0.850
Jamal Crawford;2007-2008;REG;Knicks;80;39.87;20.56;0.46;2.13;2.59;4.98;1.01;0.21;2.40;1.80;7.13;17.39;0.410;2.20;6.18;0.356;4.11;4.76;0.864
Metta World Peace;2007-2008;REG;Kings;57;38.11;20.49;1.77;3.98;5.75;3.49;2.33;0.67;2.60;2.79;7.65;16.88;0.453;1.47;3.88;0.380;3.72;5.18;0.719
Caron Butler;2007-2008;REG;Wizards;58;39.90;20.34;1.60;5.09;6.69;4.90;2.21;0.34;2.59;2.76;7.57;16.26;0.466;1.14;3.19;0.357;4.07;4.52;0.901
Kevin Durant;2007-2008;REG;SuperSonics;80;34.60;20.30;0.88;3.48;4.35;2.40;0.98;0.94;2.90;1.53;7.34;17.08;0.430;0.74;2.56;0.288;4.89;5.60;0.873
Monta Ellis;2007-2008;REG;Warriors;81;37.92;20.20;1.64;3.35;4.99;3.89;1.53;0.33;2.14;2.41;8.05;15.15;0.531;0.15;0.64;0.231;3.95;5.15;0.767
Rudy Gay;2007-2008;REG;Grizzlies;81;37.03;20.15;1.73;4.43;6.16;1.95;1.37;0.98;2.35;2.84;7.72;16.73;0.461;1.65;4.78;0.346;3.06;3.90;0.785
Stephen Jackson;2007-2008;REG;Warriors;73;39.11;20.08;0.92;3.44;4.36;4.11;1.26;0.40;2.70;2.34;6.68;16.49;0.405;2.49;6.86;0.363;4.22;5.07;0.832
Josh Howard;2007-2008;REG;Mavericks;76;36.27;19.91;1.58;5.42;7.00;2.16;0.78;0.42;1.50;2.66;7.46;16.41;0.455;0.88;2.76;0.319;4.11;5.05;0.813
Andre Iguodala;2007-2008;REG;76ers;82;39.54;19.88;1.04;4.40;5.44;4.77;2.09;0.60;2.61;2.28;7.10;15.57;0.456;1.23;3.74;0.329;4.45;6.17;0.721
Paul Pierce;2007-2008;REG;Celtics;80;35.92;19.63;0.66;4.48;5.14;4.54;1.26;0.45;2.76;2.50;6.36;13.73;0.464;1.79;4.56;0.392;5.11;6.06;0.843
Danny Granger;2007-2008;REG;Pacers;80;35.95;19.59;1.16;4.91;6.08;2.08;1.19;1.05;2.14;3.63;6.71;15.06;0.446;2.14;5.29;0.404;4.03;4.73;0.852
Hedo Turkoglu;2007-2008;REG;Magic;82;36.90;19.54;1.01;4.73;5.74;4.99;0.90;0.30;3.00;2.98;6.78;14.87;0.456;2.02;5.06;0.400;3.95;4.77;0.829
Manu Ginobili;2007-2008;REG;Spurs;74;31.07;19.49;0.85;3.93;4.78;4.49;1.47;0.45;2.70;2.34;6.12;13.30;0.460;2.11;5.26;0.401;5.14;5.97;0.860
Gilbert Arenas;2007-2008;REG;Wizards;13;32.68;19.38;0.46;3.46;3.92;5.08;1.77;0.08;3.77;2.31;6.00;15.08;0.398;1.69;6.00;0.282;5.69;7.38;0.771
Gerald Wallace;2007-2008;REG;Bobcats;62;38.32;19.35;0.94;5.08;6.02;3.48;2.11;0.94;2.90;3.05;6.58;14.65;0.449;1.15;3.56;0.321;5.05;6.90;0.731
Tim Duncan;2007-2008;REG;Spurs;78;33.98;19.33;3.04;8.26;11.29;2.79;0.72;1.95;2.28;2.37;7.50;15.10;0.497;0.00;0.05;0.000;4.33;5.94;0.730
Brandon Roy;2007-2008;REG;Trail Blazers;74;37.73;19.14;1.09;3.61;4.70;5.81;1.07;0.22;1.84;1.99;7.18;15.81;0.454;0.99;2.91;0.340;3.80;5.04;0.753
Mike Dunleavy;2007-2008;REG;Pacers;82;36.01;19.09;0.72;4.45;5.17;3.51;1.05;0.38;2.32;2.54;6.49;13.62;0.476;2.01;4.74;0.424;4.10;4.91;0.834
Pau Gasol;2007-2008;REG;Grizzlies, Lakers;66;35.62;18.88;2.35;6.03;8.38;3.20;0.45;1.48;1.88;2.11;7.20;13.48;0.534;0.06;0.24;0.250;4.42;5.48;0.807
Deron Williams;2007-2008;REG;Jazz;82;37.31;18.84;0.41;2.55;2.96;10.51;1.10;0.28;3.40;2.44;6.90;13.62;0.507;1.01;2.56;0.395;4.02;5.01;0.803
Kevin Garnett;2007-2008;REG;Celtics;71;32.79;18.83;1.90;7.32;9.23;3.44;1.41;1.25;1.94;2.30;7.52;13.94;0.539;0.00;0.15;0.000;3.79;4.73;0.801
Tony Parker;2007-2008;REG;Spurs;69;33.52;18.77;0.43;2.77;3.20;5.96;0.80;0.12;2.38;1.35;7.46;15.12;0.494;0.25;0.96;0.258;3.59;5.03;0.715
Ben Gordon;2007-2008;REG;Bulls;72;31.82;18.56;0.56;2.51;3.07;2.96;0.76;0.11;2.08;2.38;6.44;14.85;0.434;1.97;4.81;0.410;3.69;4.07;0.908
Rashard Lewis;2007-2008;REG;Magic;81;37.98;18.22;1.20;4.20;5.40;2.42;1.22;0.47;1.73;2.64;6.37;14.01;0.455;2.79;6.83;0.409;2.69;3.21;0.838
LaMarcus Aldridge;2007-2008;REG;Trail Blazers;76;34.85;17.76;2.89;4.71;7.61;1.61;0.72;1.24;1.66;3.16;7.38;15.26;0.484;0.01;0.09;0.143;2.99;3.92;0.762
Zach Randolph;2007-2008;REG;Knicks;69;32.52;17.64;2.67;7.62;10.29;2.03;0.86;0.23;2.70;2.81;7.04;15.33;0.459;0.32;1.16;0.275;3.23;4.19;0.772
Elton Brand;2007-2008;REG;Clippers;8;34.23;17.63;2.63;5.38;8.00;2.00;0.38;1.88;2.13;2.63;6.50;14.25;0.456;0.00;0.00;0.000;4.63;5.88;0.787
Ray Allen;2007-2008;REG;Celtics;73;35.94;17.44;1.03;2.64;3.67;3.08;0.89;0.22;1.74;2.01;6.01;13.51;0.445;2.47;6.19;0.398;2.95;3.25;0.907
Richard Hamilton;2007-2008;REG;Pistons;72;33.67;17.28;1.04;2.22;3.26;4.15;1.01;0.14;1.83;2.38;6.93;14.31;0.484;0.86;1.96;0.440;2.56;3.07;0.833
Mo Williams;2007-2008;REG;Bucks;66;36.52;17.23;0.56;2.92;3.48;6.35;1.18;0.15;2.76;2.85;6.68;13.92;0.480;1.35;3.50;0.385;2.52;2.94;0.856
Josh Smith;2007-2008;REG;Hawks;81;35.48;17.21;1.99;6.25;8.23;3.36;1.52;2.80;3.02;3.32;6.40;13.99;0.457;0.31;1.22;0.252;4.11;5.79;0.710
Andre Miller;2007-2008;REG;76ers;82;36.78;17.05;1.16;2.79;3.95;6.89;1.28;0.07;2.51;2.21;6.94;14.10;0.492;0.04;0.41;0.088;3.13;4.06;0.772
Luol Deng;2007-2008;REG;Bulls;63;33.78;16.98;2.16;4.10;6.25;2.46;0.90;0.46;1.90;1.86;6.81;14.22;0.479;0.13;0.35;0.364;3.24;4.21;0.770
Chauncey Billups;2007-2008;REG;Pistons;78;32.34;16.97;0.54;2.18;2.72;6.78;1.29;0.22;2.05;1.67;5.04;11.24;0.448;1.76;4.38;0.401;5.14;5.60;0.918
Steve Nash;2007-2008;REG;Suns;81;34.32;16.93;0.35;3.14;3.48;11.09;0.65;0.06;3.64;1.40;5.99;11.88;0.504;2.21;4.70;0.470;2.74;3.02;0.906
Peja Stojakovic;2007-2008;REG;Hornets;77;35.22;16.40;0.83;3.47;4.30;1.25;0.74;0.13;0.79;1.65;5.86;13.32;0.440;3.00;6.81;0.441;1.69;1.82;0.929
Mike Miller;2007-2008;REG;Grizzlies;70;35.35;16.39;0.73;5.94;6.67;3.43;0.50;0.23;2.60;2.07;5.91;11.77;0.502;2.21;5.13;0.432;2.34;3.03;0.774
