"","K","epoch","Train-TP","Train-FP","Train-TN","Train-FN","Train-%","CE-Train","Val-TP","Val-FP","Val-TN","Val-FN","Val-%","CE-Val"
"1",4,50,1720,1587,2306,0,0.717263495456975,5824.95922422833,216,2177,1727,0,0.471601941747573,10650.179731813
"2",4,100,1720,1491,2402,0,0.734366648850882,5576.08141597832,216,2104,1800,0,0.489320388349515,10404.3609786603
"3",4,150,1720,1443,2450,0,0.742918225547835,5387.83797835043,216,2060,1844,0,0.5,10181.8616068315
"4",4,200,1720,1415,2478,0,0.747906645287725,5215.4556529514,216,2028,1876,0,0.507766990291262,9961.39198424235
"5",4,250,1720,1381,2512,0,0.753964012114734,5049.65993795632,216,1998,1906,0,0.51504854368932,9741.90546146425
"6",4,300,1720,1348,2545,0,0.759843221093889,4887.89850067155,216,1971,1933,0,0.521601941747573,9523.72686756617
"7",4,350,1720,1322,2571,0,0.764475325138072,4729.37566304373,216,1937,1967,0,0.529854368932039,9307.06252106804
"8",4,400,1720,1293,2600,0,0.769641902725815,4573.82872828802,216,1915,1989,0,0.535194174757282,9091.97201033687
"9",4,450,1720,1267,2626,0,0.774274006769998,4421.16711833863,216,1891,2013,0,0.541019417475728,8878.43476087176
"10",4,500,1720,1237,2656,0,0.779618742205594,4271.3568673556,216,1869,2035,0,0.546359223300971,8666.39327201223
"11",4,550,1720,1206,2687,0,0.785141635489043,4124.38217387602,216,1838,2066,0,0.553883495145631,8455.77545020246
"12",4,600,1720,1173,2720,0,0.791020844468199,3980.23108409705,216,1810,2094,0,0.560679611650485,8246.50477517857
"13",4,650,1720,1150,2743,0,0.795118474968822,3838.88788437889,216,1779,2125,0,0.568203883495146,8038.50416867947
"14",4,700,1720,1121,2772,0,0.800285052556565,3700.327362266,216,1756,2148,0,0.57378640776699,7831.69736095492
"15",4,750,1720,1102,2791,0,0.803670051665776,3564.51082942769,216,1733,2171,0,0.579368932038835,7626.01021894594
"16",4,800,1720,1068,2825,0,0.809727418492785,3431.38519585761,216,1707,2197,0,0.585679611650485,7421.373443419
"17",4,850,1720,1039,2854,0,0.814893996080527,3300.88612188996,216,1681,2223,0,0.591990291262136,7217.72716666042
"18",4,900,1720,1006,2887,0,0.820773205059683,3172.94530587644,216,1661,2243,0,0.596844660194175,7015.02735940292
"19",4,950,1720,980,2913,0,0.825405309103866,3047.5009618254,216,1633,2271,0,0.603640776699029,6813.25360590846
"20",4,1000,1720,959,2934,0,0.829146623908783,2924.50988677365,216,1611,2293,0,0.608980582524272,6612.41765329379
"21",4,1050,1720,929,2964,0,0.834491359344379,2803.95932700381,216,1592,2312,0,0.613592233009709,6412.57209503686
"22",4,1100,1720,898,2995,0,0.840014252627828,2685.87707619615,216,1565,2339,0,0.620145631067961,6213.81857107164
"23",4,1150,1720,877,3016,0,0.843755567432745,2570.33874917513,216,1543,2361,0,0.625485436893204,6016.31495409363
"24",4,1200,1720,856,3037,0,0.847496882237663,2457.47179275095,216,1517,2387,0,0.631796116504854,5820.28112295083
"25",4,1250,1720,827,3066,0,0.852663459825405,2347.45631723634,216,1489,2415,0,0.638592233009709,5626.00304630393
"26",4,1300,1720,798,3095,0,0.857830037413148,2240.52309875929,216,1456,2448,0,0.646601941747573,5433.83495586831
"27",4,1350,1720,775,3118,0,0.861927667913772,2136.94906874234,216,1427,2477,0,0.653640776699029,5244.19935266131
"28",4,1400,1712,750,3143,8,0.864956351327276,2037.05036245685,216,1407,2497,0,0.658495145631068,5057.58448028794
"29",4,1450,1712,722,3171,8,0.869944771067166,1941.17272050432,216,1368,2536,0,0.667961165048544,4874.53876858119
"30",4,1500,1712,689,3204,8,0.875823980046321,1849.67891005931,216,1338,2566,0,0.675242718446602,4695.66166643837
"31",4,1550,1712,666,3227,8,0.879921610546945,1762.93297807335,216,1310,2594,0,0.682038834951456,4521.59031534576
"32",4,1600,1712,641,3252,8,0.884375556743275,1681.28158676971,216,1272,2632,0,0.69126213592233,4352.98173161672
"33",4,1650,1712,616,3277,8,0.888829502939604,1605.03333088813,216,1248,2656,0,0.697087378640777,4190.49061349292
"34",4,1700,1704,587,3306,16,0.892570817744522,1534.43763750145,216,1223,2681,0,0.703155339805825,4034.74356673216
"35",4,1750,1688,554,3339,32,0.895599501158026,1469.66540545336,216,1204,2700,0,0.707766990291262,3886.31136018552
"36",4,1800,1688,533,3360,32,0.899340815962943,1410.79376144931,216,1182,2722,0,0.713106796116505,3745.68159187027
"37",4,1850,1688,514,3379,32,0.902725815072154,1357.79706073813,216,1159,2745,0,0.71868932038835,3613.23461473423
"38",4,1900,1680,499,3394,40,0.903972920007126,1310.54552213279,216,1136,2768,0,0.724271844660194,3489.22551795468
"39",4,1950,1656,478,3415,64,0.903438446463567,1268.81178710393,216,1106,2798,0,0.731553398058252,3373.77429992259
"40",4,2000,1632,464,3429,88,0.901656867985035,1232.28448786519,216,1083,2821,0,0.737135922330097,3266.86521861705
"41",4,2050,1632,448,3445,88,0.904507393550686,1200.58690566852,216,1059,2845,0,0.742961165048544,3168.354951982
"42",4,2100,1632,434,3459,88,0.907001603420631,1173.29823936504,216,1041,2863,0,0.747330097087379,3077.98799547621
"43",4,2150,1616,411,3482,104,0.908248708355603,1149.97497562926,216,1016,2888,0,0.753398058252427,2995.41694340506
"44",4,2200,1616,392,3501,104,0.911633707464814,1130.17027896327,216,997,2907,0,0.758009708737864,2920.22505907056
"45",4,2250,1608,385,3508,112,0.911455549616961,1113.45001312029,216,979,2925,0,0.762378640776699,2851.94877904323
"46",4,2300,1592,379,3514,128,0.909673971138429,1099.40475318317,216,968,2936,0,0.76504854368932,2790.09835034987
"47",4,2350,1592,362,3531,128,0.912702654551933,1087.65778452741,216,952,2952,0,0.768932038834951,2734.17546935815
"48",4,2400,1584,350,3543,136,0.913415285943346,1077.86952662673,216,942,2962,0,0.771359223300971,2683.68741816104
"49",4,2450,1584,339,3554,136,0.915375022269731,1069.73905530884,216,932,2972,0,0.77378640776699,2638.15768513092
"50",4,2500,1560,329,3564,160,0.912880812399786,1063.00346318513,216,923,2981,0,0.775970873786408,2597.13338129059
"51",4,2550,1552,321,3572,168,0.912880812399786,1057.4357496662,216,917,2987,0,0.777427184466019,2560.1899372758
"52",4,2600,1552,318,3575,168,0.913415285943346,1052.84182219552,216,910,2994,0,0.779126213592233,2526.93362235498
"53",4,2650,1552,311,3582,168,0.914662390878318,1049.05705961598,216,902,3002,0,0.781067961165049,2497.00240695607
"54",4,2700,1552,308,3585,168,0.915196864421878,1045.94276276494,216,891,3013,0,0.78373786407767,2470.06562765836
