"","K","epoch","Train-TP","Train-FP","Train-TN","Train-FN","Train-%","CE-Train","Val-TP","Val-FP","Val-TN","Val-FN","Val-%","CE-Val"
"1",9,50,131,57,3836,84,0.965676728334956,336.831303900892,121,69,3835,95,0.960194174757282,360.004825680917
"2",9,100,131,54,3839,84,0.966407010710808,335.281720723441,122,68,3836,94,0.960679611650485,359.093279250829
"3",9,150,131,54,3839,84,0.966407010710808,334.2181186941,121,68,3836,95,0.960436893203883,358.404412782558
"4",9,200,132,55,3838,83,0.966407010710808,333.407969022556,119,66,3838,97,0.960436893203883,357.85902171662
"5",9,250,131,54,3839,84,0.966407010710808,332.75436872557,119,65,3839,97,0.960679611650485,357.405060745491
"6",9,300,131,54,3839,84,0.966407010710808,332.210853284972,119,65,3839,97,0.960679611650485,357.019298342304
"7",9,350,130,54,3839,85,0.966163583252191,331.752952953211,119,65,3839,97,0.960679611650485,356.689610254641
"8",9,400,131,53,3840,84,0.966650438169426,331.366327142836,119,65,3839,97,0.960679611650485,356.408336631677
"9",9,450,131,53,3840,84,0.966650438169426,331.04131666162,119,65,3839,97,0.960679611650485,356.169713981897
"10",9,500,131,53,3840,84,0.966650438169426,330.770355686601,119,66,3838,97,0.960436893203883,355.968877365477
"11",9,550,131,53,3840,84,0.966650438169426,330.546721208389,119,67,3837,97,0.960194174757282,355.801469356054
"12",9,600,131,52,3841,84,0.966893865628043,330.363884309504,119,67,3837,97,0.960194174757282,355.663415641388
"13",9,650,131,52,3841,84,0.966893865628043,330.215132057454,119,67,3837,97,0.960194174757282,355.550696585367
"14",9,700,131,52,3841,84,0.966893865628043,330.093370769585,119,67,3837,97,0.960194174757282,355.459120576025
"15",9,750,131,52,3841,84,0.966893865628043,329.99114455853,119,67,3837,97,0.960194174757282,355.384198335599
"16",9,800,131,52,3841,84,0.966893865628043,329.900918340381,119,67,3837,97,0.960194174757282,355.321220224689
"17",9,850,131,52,3841,84,0.966893865628043,329.815608098867,119,67,3837,97,0.960194174757282,355.265566774119
"18",9,900,131,52,3841,84,0.966893865628043,329.729242889508,119,66,3838,97,0.960436893203883,355.21317953688
"19",9,950,131,52,3841,84,0.966893865628043,329.637571640959,119,66,3838,97,0.960436893203883,355.161039680377
"20",9,1000,131,50,3843,84,0.967380720545277,329.538426184421,119,66,3838,97,0.960436893203883,355.107486829179
"21",9,1050,131,50,3843,84,0.967380720545277,329.43172646204,119,66,3838,97,0.960436893203883,355.052267984497
"22",9,1100,131,50,3843,84,0.967380720545277,329.319131566614,119,66,3838,97,0.960436893203883,354.996306537209
"23",9,1150,131,49,3844,84,0.967624148003895,329.203448014264,119,66,3838,97,0.960436893203883,354.941275963177
"24",9,1200,131,48,3845,84,0.967867575462512,329.08796111617,119,66,3838,97,0.960436893203883,354.88911186196
"25",9,1250,131,47,3846,84,0.96811100292113,328.975844322447,119,65,3839,97,0.960679611650485,354.841587995831
"26",9,1300,131,47,3846,84,0.96811100292113,328.869744158537,119,65,3839,97,0.960679611650485,354.800033764548
"27",9,1350,131,45,3848,84,0.968597857838364,328.77156830412,119,65,3839,97,0.960679611650485,354.765211690975
"28",9,1400,131,45,3848,84,0.968597857838364,328.682449370763,118,65,3839,98,0.960436893203883,354.737328346496
"29",9,1450,130,44,3849,85,0.968597857838364,328.602829091195,118,64,3840,98,0.960679611650485,354.716130770252
"30",9,1500,129,44,3849,86,0.968354430379747,328.532604482809,118,64,3840,98,0.960679611650485,354.701040052938
"31",9,1550,129,43,3850,86,0.968597857838364,328.471289404991,118,64,3840,98,0.960679611650485,354.691285494504
