"","H","epoch","trainingMSE","validationSME"
"1",1,10,12.3649508235378,12.1033205585338
"2",1,20,8.41853184397026,9.01543841814652
"3",1,30,12.0965731389462,12.1386179773273
"4",1,40,11.8626162606915,11.9021767656211
"5",1,50,11.6411679880725,11.679952903444
"6",1,60,11.4223577621667,11.4605084675043
"7",1,70,11.2057299533633,11.2432578345517
"8",1,80,10.9912192464291,11.0281193345509
"9",1,90,10.7788417604442,10.8151183645957
"10",1,100,10.5686408429676,10.6043119186738
"11",1,110,10.3606810021188,10.3957785643698
"12",1,120,10.1550969027739,10.1896763463846
"13",1,130,9.95242802427104,9.98663729781202
"14",1,140,9.75607770202739,9.79064519703258
"15",1,150,9.58465656068104,9.62254539853166
"16",1,160,9.40139613438958,9.43967808262473
"17",1,170,9.20857142506144,9.24659095290624
"18",1,180,9.01776062705838,9.05557020390596
"19",1,190,8.82895192567007,8.86660945986866
"20",1,200,8.64211708353018,8.67968323295958
"21",1,210,8.45722834540074,8.49476456024531
"22",1,220,8.27427737853604,8.31184644714507
"23",1,230,8.09330056695621,8.13097344911259
"24",1,240,7.91440119654481,7.95227492677993
"25",1,250,7.73775208645178,7.77598178035938
"26",1,260,7.56356830328667,7.60241304710348
"27",1,270,7.3920598025655,7.43194399433039
"28",1,280,7.22338753778434,7.26499287834628
"29",1,290,7.05763737883442,7.10207080642166
"30",1,300,6.89480369544916,6.94395132640346
"31",1,310,6.7347486542772,6.79209319404102
"32",1,320,6.57704527183854,6.64962733301633
"33",1,330,6.42043566788676,6.52240876027738
"34",1,340,6.26111645209833,6.41364331513143
"35",1,350,6.04008594136364,6.25628084020543
"36",1,360,5.84758535829708,6.05274088241757
"37",1,370,5.68056942231689,5.88740426851792
"38",1,380,5.53195259273754,5.74569945445648
"39",1,390,5.39942788246402,5.62473212922856
"40",1,400,5.27320723273201,5.52530656790984
"41",1,410,5.07734164302346,5.38594822116379
"42",1,420,4.94137607695771,5.26704171522237
"43",1,430,4.81247911005013,5.13450533133781
"44",1,440,4.68958842142388,5.00966030910525
"45",1,450,4.57102750518109,4.89063899692006
"46",1,460,4.45599608900368,4.77578704766436
"47",1,470,4.34398882951829,4.66418917697217
"48",1,480,4.23474142546853,4.55547470860788
"49",1,490,4.12804292762164,4.44947335711502
"50",1,500,4.0236337231251,4.3460204176228
"51",2,10,12.5955064651686,12.1138556764199
"52",2,20,7.46410679383492,8.03710814294103
"53",2,30,8.42944655938253,8.91859363931361
"54",2,40,6.58586577733458,7.37509084097729
"55",2,50,7.32413181692198,8.23967444853038
"56",2,60,6.72368114312337,7.53835113030791
"57",2,70,6.701142035231,7.4992818435562
"58",2,80,6.60962401560109,7.42804821629187
"59",2,90,5.58031433994632,6.56725206822029
"60",2,100,7.48082585411783,8.22378570588481
"61",2,110,6.41534512071561,7.6689890213221
"62",2,120,6.78221052779055,7.61316588526637
"63",2,130,6.76705147670274,7.63889337522132
"64",2,140,6.60654273174902,7.5220543434769
"65",2,150,6.62020807333581,7.51844946735564
"66",2,160,6.47159676769016,7.4539419703436
"67",2,170,6.43479142039028,7.36968151729407
"68",2,180,6.30993755757917,7.31924966385648
"69",2,190,6.04150494980121,7.17905173105237
"70",2,200,6.12266862854909,7.32171026002454
"71",2,210,6.07314261922349,7.25479836449414
